"분류
기준","질병분류
코드",검별,주석,한글명칭,영문명칭
세,A05.1,,,보틀리눔중독,Botulism
,A05.1,,,클로스트리듐 보툴리눔에 의한 고전적 식중독,Classical foodborne intoxication due to Clostridium botulinum
세,A05.2,,,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
,A05.2,,,괴사성 장염,Enteritis necroticans
세,A05.3,,,장염비브리오균에 의한 식중독,Foodborne Vibrio parahaemolyticus intoxication
세,A05.4,,,바실루스 세레우스에 의한 식중독,Foodborne Bacillus cereus intoxication
세,A05.8,,,기타 명시된 세균성 식중독,Other specified bacterial foodborne intoxications
세,A05.9,,,상세불명의 세균성 식중독,"Bacterial foodborne intoxication, unspecified"
소,A06,,,아메바증,Amoebiasis
세,A06.0,,,급성 아메바이질,Acute amoebic dysentery
,A06.0,,,급성 아메바증,Acute amoebiasis
,A06.0,,,장아메바증 NOS,Intestinal amoebiasis NOS
세,A06.1,,,만성 장아메바증,Chronic intestinal amoebiasis
세,A06.2,,,아메바성 비이질성 결장염,Amoebic nondysenteric colitis
세,A06.3,,,장의 아메바종,Amoeboma of intestine
,A06.3,,,아메바종 NOS,Amoeboma NOS
세,A06.7,,,피부아메바증,Cutaneous amoebiasis
세,A06.8,,,기타 부위의 아메바성 감염,Amoebic infection of other sites
,A06.8,,,아메바성 충수염,Amoebic appendicitis
세,A06.9,,,상세불명의 아메바증,"Amoebiasis, unspecified"
소,A07,,,기타 원충성 장질환,Other protozoal intestinal diseases
세,A07.0,,,대장섬모충증,Balantidiasis
,A07.0,,,대장섬모충이질,Balantidial dysentery
세,A07.1,,,편모충증[람블편모충증],Giardiasis [lambliasis]
세,A07.2,,,와포자충증,Cryptosporidiosis
세,A07.3,,,등포자충증,Isosporiasis
,A07.3,,,등포자충증,Isosporosis
,A07.3,,,아이소스포라 벨리와 아이소스포라 호미니스에 의한 감염,Infection due to Isospora belli and Isospora hominis
,A07.3,,,장콕시디아증,Intestinal coccidiosis
세,A07.8,,,기타 명시된 원충성 장질환,Other specified protozoal intestinal diseases
,A07.8,,,장편모충증,Intestinal trichomoniasis
세,A07.9,,,상세불명의 원충성 장질환,"Protozoal intestinal disease, unspecified"
,A07.9,,,원충성 결장염,Protozoal colitis
,A07.9,,,원충성 설사,Protozoal diarrhoea
,A07.9,,,원충성 이질,Protozoal dysentery
,A07.9,,,편모충성 설사,Flagellate diarrhoea
소,A08,,,바이러스성 및 기타 명시된 장감염,Viral and other specified intestinal infections
세,A08.0,,,로타바이러스장염,Rotaviral enteritis
세,A08.1,,,노로바이러스에 의한 급성 위장병증,Acute gastroenteropathy due to Norovirus
,A08.1,,,노로바이러스장염,Norovirus enteritis
,A08.1,,,소형구형바이러스장염,Small round structured virus enteritis
세,A08.2,,,아데노바이러스장염,Adenoviral enteritis
세,A08.3,,,기타 바이러스장염,Other viral enteritis
세,A08.4,,,상세불명의 바이러스성 장감염,"Viral intestinal infection, unspecified"
,A08.4,,,바이러스성 위장병증 NOS,Viral gastroenteropathy NOS
,A08.4,,,바이러스성 위장염 NOS,Viral gastroenteritis NOS
,A08.4,,,바이러스성 장염 NOS,Viral enteritis NOS
세,A08.5,,,기타 명시된 장감염,Other specified intestinal infections
소,A09,,,감염성 및 상세불명 기원의 기타 위장염 및 결장염,Other gastroenteritis and colitis of infectious and unspecified origin
세,A09.0,,,감염성 기원의 기타 및 상세불명의 위장염 및 결장염,Other and unspecified gastroenteritis and colitis of infectious origin
,A09.0,,,감염성 (신생아의) 설사 NOS,Infectious (neonatal) diarrhoea NOS
,A09.0,,,감염성 또는 패혈성 출혈성 결장염 NOS,Infectious or septic haemorrhagic colitis NOS
,A09.0,,,감염성 또는 패혈성 출혈성 위장염 NOS,Infectious or septic haemorrhagic gastroenteritis NOS
,A09.0,,,감염성 또는 패혈성 출혈성 장염 NOS,Infectious or septic haemorrhagic enteritis NOS
,A09.0,,,급성 물성 설사,Acute watery diarrhoea 
,A09.0,,,급성 출혈성 설사,Acute hemorrhagic diarrhoea 
,A09.0,,,급성 혈액성 설사,Acute bloody diarrhoea
,A09.0,,,유행 설사,Epidemic diarrhoea
,A09.0,,,이질성 설사,Dysenteric diarrhoea 
,A09.0,,,장성 카타르,"Catarrh, enteric or intestinal"
세,A09.9,,,상세불명 기원의 위장염 및 결장염,Gastroenteritis and colitis of unspecified origin
,A09.9,,,신생아의 설사 NOS,Neonatal diarrhoea NOS
,A09.9,,,"주하(注下, 注夏, 疰夏 )",Dysentery disorder
소,A15,,,세균학적 및 조직학적으로 확인된 호흡기결핵,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
,A15,,, 0 공동이 있는,
,A15,,, 1 공동이 없거나 상세불명의,
중,A15-A19,,,결핵(A15-A19),Tuberculosis(A15-A19)
세,A15.0,,,배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
,A15.0,,,세균학적으로 확인된 폐결핵,"Tuberculosis of lung, bacteriologically confirmed  "
,A15.0,,,배양 유무에 관계없이 세균학적으로 확인된 결핵성 기관지 확장증,"Tuberculous bronchiectasis, confirmed bacteriologically with or without culture"
,A15.0,,,배양 유무에 관계없이 세균학적으로 확인된 결핵성 폐섬유증,"Tuberculous fibrosis of lung, confirmed bacteriologically with or without culture"
,A15.0,,,배양 유무에 관계없이 세균학적으로 확인된 결핵성 폐렴,"Tuberculous pneumonia, confirmed bacteriologically with or without culture"
,A15.0,,,배양 유무에 관계없이 세균학적으로 확인된 결핵성 기흉,"Tuberculous pneumothorax, confirmed bacteriologically with or without culture"
세,A15.1,,,배양만으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by culture only"
,A15.1,,,"A15.0에 열거된 병태, 배양만으로 확인된 것","Conditions listed in A15.0, confirmed by culture only"
,A15.1,,,배양만으로 확인된 결핵성 기관지 확장증,"Tuberculous bronchiectasis, confirmed by culture only"
,A15.1,,,배양만으로 확인된 결핵성 기흉,"Tuberculous pneumothorax, confirmed by culture only"
,A15.1,,,배양만으로 확인된 결핵성 폐렴,"Tuberculous pneumonia, confirmed by culture only"
,A15.1,,,배양만으로 확인된 결핵성 폐섬유증,"Tuberculous fibrosis of lung, confirmed by culture only"
세,A15.2,,,조직학적으로 확인된 폐결핵,"Tuberculosis of lung, confirmed histologically"
,A15.2,,,"A15.0에 열거된 병태, 조직학적으로 확인된 것","Conditions listed in A15.0, confirmed histologically"
,A15.2,,,조직학적으로 확인된 결핵성 기관지 확장증,"Tuberculous bronchiectasis, confirmed histologically"
,A15.2,,,조직학적으로 확인된 결핵성 기흉,"Tuberculous pneumothorax, confirmed histologically"
,A15.2,,,조직학적으로 확인된 결핵성 폐렴,"Tuberculous pneumonia, confirmed histologically"
,A15.2,,,조직학적으로 확인된 결핵성 폐섬유증,"Tuberculous fibrosis of lung, confirmed histologically"
세,A15.3,,,상세불명의 수단으로 확인된 폐결핵,"Tuberculosis of lung, confirmed by unspecified means"
,A15.3,,,"A15.0에 열거된 병태, 확인은 되었지만 세균학적인지 조직학적인지는 명시되지 않은 것","Conditions listed A15.0, confirmed but unspecified whether bacteriologically or histologically"
,A15.3,,,상세불명의 수단으로 확인된 결핵성 기관지 확장증,"Tuberculous bronchiectasis, confirmed by unspecified means"
,A15.3,,,상세불명의 수단으로 확인된 결핵성 기흉,"Tuberculous pneumothorax, confirmed by unspecified means"
,A15.3,,,상세불명의 수단으로 확인된 결핵성 폐렴,"Tuberculous pneumonia, confirmed by unspecified means"
,A15.3,,,상세불명의 수단으로 확인된 결핵성 폐섬유증,"Tuberculous fibrosis of lung, confirmed by unspecified means"
세,A15.4,,,세균학적 및 조직학적으로 확인된 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
,A15.4,,,세균학적 및 조직학적으로 확인된 기관기관지림프절의 결핵,"Tuberculosis of tracheobronchial lymph nodes, confirmed bacteriologically and histologically "
,A15.4,,,세균학적 및 조직학적으로 확인된 종격림프절의 결핵,"Tuberculosis of mediastinal lymph nodes, confirmed bacteriologically and histologically "
,A15.4,,,세균학적 및 조직학적으로 확인된 폐문림프절의 결핵,"Tuberculosis of hilar lymph nodes, confirmed bacteriologically and histologically "
세,A15.5,,,"세균학적 및 조직학적으로 확인된 후두, 기관 및 기관지의 결핵","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
,A15.5,,,세균학적 및 조직학적으로 확인된 기관의 결핵,"Tuberculosis of trachea, confirmed bacteriologically and histologically"
,A15.5,,,세균학적 및 조직학적으로 확인된 기관지의 결핵,"Tuberculosis of bronchus, confirmed bacteriologically and histologically"
,A15.5,,,세균학적 및 조직학적으로 확인된 성문의 결핵,"Tuberculosis of glottis, confirmed bacteriologically and histologically"
,A15.5,,,세균학적 및 조직학적으로 확인된 후두의 결핵,"Tuberculosis of larynx, confirmed bacteriologically and histologically"
세,A15.6,,,세균학적 및 조직학적으로 확인된 결핵성 흉막염,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
,A15.6,,,세균학적 및 조직학적으로 확인된 결핵성 농흉(膿胸),"Tuberculous empyema, confirmed bacteriologically and histologically"
,A15.6,,,세균학적 및 조직학적으로 확인된 흉막의 결핵,"Tuberculosis of pleura, confirmed bacteriologically and histologically"
세,A15.7,,,세균학적 및 조직학적으로 확인된 일차호흡기결핵,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
세,A15.8,,,세균학적 및 조직학적으로 확인된 기타 호흡기결핵,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
,A15.8,,,세균학적 및 조직학적으로 확인된 부비동의 결핵,"Tuberculosis of sinus[any nasal], confirmed bacteriologically and histologically"
,A15.8,,,세균학적 및 조직학적으로 확인된 비인두결핵,"Nasopharyngeal tuberculosis, confirmed bacteriologically and histologically"
,A15.8,,,세균학적 및 조직학적으로 확인된 종격결핵,"Mediastinal tuberculosis, confirmed bacteriologically and histologically"
,A15.8,,,세균학적 및 조직학적으로 확인된 코의 결핵,"Tuberculosis of nose, confirmed bacteriologically and histologically"
세,A15.9,,,세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
소,A16,,,세균학적으로나 조직학적으로 확인되지 않은 호흡기결핵,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
,A16,,, 0 공동이 있는,
,A16,,, 1 공동이 없거나 상세불명의,
세,A16.0,,,세균학적 및 조직학적으로 음성인 폐결핵,"Tuberculosis of lung, bacteriologically and histologically negative"
,A16.0,,,세균학적 및 조직학적으로 음성인 결핵성 기관지확장증,"Tuberculous bronchiectasis, bacteriologically and histologically negative"
,A16.0,,,세균학적 및 조직학적으로 음성인 결핵성 기흉,"Tuberculous pneumothorax, bacteriologically and histologically negative"
,A16.0,,,세균학적 및 조직학적으로 음성인 결핵성 폐렴,"Tuberculous pneumonia, bacteriologically and histologically negative"
,A16.0,,,세균학적 및 조직학적으로 음성인 결핵성 폐섬유증,"Tuberculous fibrosis of lung, bacteriologically and histologically negative"
세,A16.1,,,세균학적 및 조직학적 검사를 하지 않은 폐결핵,"Tuberculosis of lung, bacteriological and histological examination not done"
,A16.1,,,"A16.0에 열거된 병태, 세균학적 및 조직학적 검사를 하지 않은","Conditions listed in A16.0, bacteriological and histological examination not done"
,A16.1,,,노채(勞瘵),Fatigue consumption disorder
,A16.1,,,세균학적 및 조직학적 검사를 하지 않은 결핵성 기관지확장증,"Tuberculous bronchiectasis, bacteriological and histological examination not done"
,A16.1,,,세균학적 및 조직학적 검사를 하지 않은 결핵성 기흉,"Tuberculous pneumothorax, bacteriological and histological examination not done"
,A16.1,,,세균학적 및 조직학적 검사를 하지 않은 결핵성 폐렴,"Tuberculous pneumonia, bacteriological and histological examination not done"
,A16.1,,,세균학적 및 조직학적 검사를 하지 않은 결핵성 폐섬유증,"Tuberculous fibrosis of lung, bacteriological and histological examination not done"
세,A16.2,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
,A16.2,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 기관지확장증 NOS,"Tuberculous bronchiectasis NOS, without mention of bacteriological or histological confirmation"
,A16.2,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 기흉 NOS,"Tuberculous pneumothorax NOS, without mention of bacteriological or histological confirmation"
,A16.2,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 폐렴 NOS,"Tuberculous pneumonia NOS, without mention of bacteriological or histological confirmation"
,A16.2,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 폐섬유증 NOS,"Tuberculous fibrosis of lung NOS, without mention of bacteriological or histological confirmation"
,A16.2,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵 NOS,"Tuberculosis of lung NOS, without mention of bacteriological or histological confirmation"
세,A16.3,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
,A16.3,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 기관기관지림프절의 결핵 NOS,"Tuberculosis of tracheobronchial lymph nodes NOS, without mention of bacteriological or histological confirmation"
,A16.3,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 종격림프절의 결핵 NOS,"Tuberculosis of mediastinal lymph nodes NOS, without mention of bacteriological or histological confirmation"
,A16.3,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐문림프절의 결핵 NOS,"Tuberculosis of hilar lymph nodes NOS, without mention of bacteriological or histological confirmation"
,A16.3,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵 NOS,"Tuberculosis of intrathoracic lymph nodes NOS, without mention of bacteriological or histological confirmation"
세,A16.4,,,"세균학적 또는 조직학적 확인에 대한 언급이 없는 후두, 기관 및 기관지 결핵","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
,A16.4,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 기관결핵 NOS,"Tuberculosis of trachea NOS, without mention of bacteriological or histological confirmation"
,A16.4,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 기관지결핵 NOS,"Tuberculosis of bronchus NOS, without mention of bacteriological or histological confirmation"
,A16.4,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 성문결핵 NOS,"Tuberculosis of glottis NOS, without mention of bacteriological or histologicalconfirmation"
,A16.4,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 후두결핵 NOS,"Tuberculosis of larynx NOS, without mention of bacteriological or histological confirmation"
세,A16.5,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
,A16.5,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 농흉(膿胸) NOS,"Tuberculous empyema NOS, without mention of bacteriological or histological confirmation"
,A16.5,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염 NOS,"Tuberculous pleurisy NOS, without mention of bacteriological or histological confirmation"
,A16.5,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉막의 결핵 NOS,"Tuberculosis of pleura NOS, without mention of bacteriological or histological confirmation"
세,A16.7,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 일차호흡기결핵,"Primary respiratory tuberculosis , without mention of bacteriological or histological confirmation"
,A16.7,,,일차 결핵성 복합,Primary tuberculous complex
,A16.7,,,일차호흡기결핵 NOS,Primary respiratory tuberculosis　NOS
세,A16.8,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
,A16.8,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 동[코]결핵 NOS,"Tuberculosis of sinus[any nasal] NOS, without mention of bacteriological or histological confirmation"
,A16.8,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 비인두결핵 NOS,"Nasopharyngeal tuberculosis NOS, without mention of bacteriological or histological confirmation"
,A16.8,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 종격결핵 NOS,"Mediastinal tuberculosis NOS, without mention of bacteriological or histological confirmation"
,A16.8,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 코의 결핵 NOS,"Tuberculosis of nose NOS, without mention of bacteriological or histological confirmation"
세,A16.9,,,세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
,A16.9,,,결핵 NOS,Tuberculosis NOS
,A16.9,,,호흡기결핵 NOS,Respiratory tuberculosis NOS
소,A18,,,기타 기관의 결핵,Tuberculosis of other organs
세,A18.1,,,비뇨생식계통의 결핵,Tuberculosis of genitourinary system
세,A18.2,,,결핵성 말초림프절병증,Tuberculous peripheral lymphadenopathy
,A18.2,,,결핵성 선염,Tuberculous adenitis
세,A18.3,,,"장, 복막 및 장간막 림프절의 결핵","Tuberculosis of intestines, peritoneum and mesenteric glands"
세,A18.4,,,피부 및 피하조직의 결핵,Tuberculosis of skin and subcutaneous tissue
,A18.4,,,결핵성 경결홍반,"Erythema induratum, tuberculous"
,A18.4,,,부식루푸스,Lupus exedens
,A18.4,,,보통루푸스 NOS,Lupus vulgaris NOS
,A18.4,,,피부선병,Scrofuloderma
세,A18.5,,,눈의 결핵,Tuberculosis of eye
세,A18.6,,,귀의 결핵,Tuberculosis of ear
세,A18.8,,,기타 명시된 기관의 결핵,Tuberculosis of other specified organs
소,A19,,,좁쌀결핵,Miliary tuberculosis
세,A19.0,,,하나로 명시된 부위의 급성 좁쌀결핵,Acute miliary tuberculosis of a single specified site
세,A19.1,,,여러 부위의 급성 좁쌀결핵,Acute miliary tuberculosis of multiple sites
세,A19.2,,,상세불명의 급성 좁쌀결핵,"Acute miliary tuberculosis, unspecified"
세,A19.8,,,기타 좁쌀결핵,Other miliary tuberculosis
세,A19.9,,,상세불명의 좁쌀결핵,"Miliary tuberculosis, unspecified"
소,A20,,,페스트,Plague
중,A20-A28,,,특정 동물매개의 세균성 질환(A20-A28),Certain zoonotic bacterial diseases(A20-A28)
세,A20.0,,,림프절형페스트,Bubonic plague
세,A20.1,,,연조직피부형페스트,Cellulocutaneous plague
세,A20.2,,,폐렴형페스트,Pneumonic plague
세,A20.3,,,페스트수막염,Plague meningitis
세,A20.7,,,패혈증형페스트,Septicaemic plague
세,A20.8,,,기타 형태의 페스트,Other forms of plague
,A20.8,,,경증 페스트,Pestis minor
,A20.8,,,무증상페스트,Asymptomatic plague
,A20.8,,,부전형페스트,Abortive plague
세,A20.9,,,상세불명의 페스트,"Plague, unspecified"
소,A21,,,야생토끼병,Tularaemia
세,A21.0,,,궤양림프절야생토끼병,Ulceroglandular tularaemia
세,A21.1,,,눈림프절야생토끼병,Oculoglandular tularaemia
,A21.1,,,눈야생토끼병,Ophthalmic tularaemia
세,A21.2,,,폐야생토끼병,Pulmonary tularaemia
세,A21.3,,,위장야생토끼병,Gastrointestinal tularaemia
,A21.3,,,복부야생토끼병,Abdominal tularaemia
세,A21.7,,,전신야생토끼병,Generalized tularaemia
세,A21.8,,,기타 형태의 야생토끼병,Other forms of tularaemia
세,A21.9,,,상세불명의 야생토끼병,"Tularaemia, unspecified"
소,A22,,,탄저병,Anthrax
세,A22.0,,,피부탄저병,Cutaneous anthrax
,A22.0,,,악성 농포,Malignant pustule
,A22.0,,,악성 큰종기,Malignant carbuncle
세,A22.1,,,폐탄저병,Pulmonary anthrax
,A22.1,,,넝마주이병,Ragpicker’s disease
,A22.1,,,양모선별인병,Woolsorter’s disease
,A22.1,,,흡입탄저병,Inhalation anthrax
세,A22.2,,,위장탄저병,Gastrointestinal anthrax
세,A22.7,,,탄저병패혈증,Anthrax sepsis
세,A22.8,,,기타 형태의 탄저병,Other forms of anthrax
세,A22.9,,,상세불명의 탄저병,"Anthrax, unspecified"
소,A23,,,브루셀라병,Brucellosis
세,A23.0,,,브루셀라 멜리텐시스에 의한 브루셀라병,Brucellosis due to Brucella melitensis
세,A23.1,,,브루셀라 아보르투스에 의한 브루셀라병,Brucellosis due to Brucella abortus
세,A23.2,,,브루셀라 수이스에 의한 브루셀라병,Brucellosis due to Brucella suis
세,A23.3,,,브루셀라 카니스에 의한 브루셀라병,Brucellosis due to Brucella canis
세,A23.8,,,기타 브루셀라병,Other brucellosis
세,A23.9,,,상세불명의 브루셀라병,"Brucellosis, unspecified"
소,A24,,,마비저 및 유사비저,Glanders and Melioidosis
세,A24.0,,,마비저,Glanders
,A24.0,,,버크홀데리아 말레이에 의한 감염,Infection due to Burkholderia mallei
,A24.0,,,비저,Malleus
,A24.0,,,슈도모나스 말레이에 의한 감염,Infection due to Pseudomonas mallei
세,A24.1,,,급성 및 전격성 유사비저,Acute and fulminating melioidosis
,A24.1,,,유사비저패혈증,Melioidosis sepsis
,A24.1,,,유사비저폐렴,Melioidosis pneumonia
세,A24.2,,,아급성 및 만성 유사비저,Subacute and chronic melioidosis
세,A24.3,,,기타 유사비저,Other melioidosis
세,A24.4,,,상세불명의 유사비저,"Melioidosis, unspecified"
,A24.4,,,버크홀데리아 슈도말레이에 의한 감염 NOS,Infection due to Burkholderia pseudomallei  NOS
,A24.4,,,슈도모나스 슈도말레이에 의한 감염 NOS,Infection due to Pseudomonas pseudomallei  NOS
,A24.4,,,위트모어병,Whitmore’s disease
소,A25,,,쥐물음열,Rat-bite fevers
세,A25.0,,,스피릴룸증,Spirillosis
,A25.0,,,쥐물림증,Sodoku
세,A25.1,,,연쇄막대균증,Streptobacillosis
,A25.1,,,연쇄막대균성 쥐물음열,Streptobacillary Rat-bite fever
,A25.1,,,유행성 관절염성 홍반,Epidemic arthritic erythema
,A25.1,,,하베르힐열,Haverhill fever
세,A25.9,,,상세불명의 쥐물음열,"Rat-bite fever, unspecified"
소,A26,,,유사단독,Erysipeloid
세,A26.0,,,피부유사단독,Cutaneous erysipeloid
,A26.0,,,이동성 홍반,Erythema migrans
세,A26.7,,,에리시펠로트릭스 패혈증,Erysipelothrix sepsis
세,A26.8,,,기타 형태의 유사단독,Other forms of erysipeloid
세,A26.9,,,상세불명의 유사단독,"Erysipeloid, unspecified"
소,A27,,,렙토스피라병,Leptospirosis
세,A27.0,,,황달출혈성 렙토스피라병,Leptospirosis icterohaemorrhagica
,A27.0,,,렙토스피라 인테로간스 익테로헤모라지애  혈청형에 의한 렙토스피라병,Leptospirosis due to Leptospira interrogans serovar icterohaemorrhagiae
세,A27.8,,,기타 형태의 렙토스피라병,Other forms of leptospirosis
세,A27.9,,,상세불명의 렙토스피라병,"Leptospirosis, unspecified"
소,A28,,,달리 분류되지 않은 기타 동물매개의 세균성 질환,"Other zoonotic bacterial diseases, NEC"
세,A28.0,,,파스퇴렐라증,Pasteurellosis
세,A28.1,,,고양이할큄병,Cat-scratch disease
,A28.1,,,고양이할큄열,Cat-scratch fever
세,A28.2,,,장외예르시니아증,Extraintestinal yersiniosis
세,A28.8,,,달리 분류되지 않은 기타 명시된 동물매개의 세균성 질환,"Other specified zoonotic bacterial diseases, NEC"
세,A28.9,,,상세불명의 동물매개의 세균성 질환,"Zoonotic bacterial disease, unspecified"
소,A30,,,나병[한센병],Leprosy[Hansen’s disease]
중,A30-A49,,,기타 세균성 질환(A30-A49),Other bacterial diseases(A30-A49)
세,A30.0,,,부정나병,Indeterminate leprosy
,A30.0,,,I 나병,I leprosy
세,A30.1,,,결핵모양나병,Tuberculoid leprosy
,A30.1,,,TT나병,TT leprosy
세,A30.2,,,경계결핵모양나병,Borderline tuberculoid leprosy
,A30.2,,,BT나병,BT leprosy
세,A30.3,,,경계나병,Borderline leprosy
,A30.3,,,BB나병,BB leprosy
세,A30.4,,,경계나병종나병,Borderline lepromatous leprosy
